BoroCD,Borough,Geography Name,Label,GeographyID,Shape_Leng,Shape_Area,Shape_Length,2018_HVI,2023_HVI,HVI_Change,Drinking_Fountains_Count,Cooling_Sites_Count,Spray_Showers_Count
101,Manhattan,Financial District (CD1),Manhattan CD 1,101,73762.39322,42686524.75,73762.02765,1,1,0,51,0,3
102,Manhattan,Greenwich Village and Soho (CD2),Manhattan CD 2,102,34130.59586,37689214.96,34130.29464,2,1,-1,41,0,9
103,Manhattan,Lower East Side and Chinatown (CD3),Manhattan CD 3,103,30468.3406,46879227.87,30468.32341,3,2,-1,142,0,28
104,Manhattan,Clinton and Chelsea (CD4),Manhattan CD 4,104,67623.94668,49311712.76,67623.64603,2,2,0,49,0,8
105,Manhattan,Midtown (CD5),Manhattan CD 5,105,35288.3052,43790330.26,35288.18825,3,1,-2,9,0,1
106,Manhattan,Stuyvesant Town and Turtle Bay (CD6),Manhattan CD 6,106,42705.93748,38729090.27,42705.94305,2,1,-1,34,0,5
107,Manhattan,Upper West Side (CD7),Manhattan CD 7,107,39863.70138,53152840.74,39863.65141,1,1,0,76,0,16
108,Manhattan,Upper East Side (CD8),Manhattan CD 8,108,53561.0969,55168762.7,53560.76124,1,1,0,34,1,6
109,Manhattan,Morningside Heights and Hamilton Heights (CD9),Manhattan CD 9,109,34959.18494,41892208.66,34958.98458,3,3,0,52,6,13
110,Manhattan,Central Harlem (CD10),Manhattan CD 10,110,35825.2907,39084607.67,35825.04764,5,5,0,50,20,13
111,Manhattan,East Harlem (CD11),Manhattan CD 11,111,59502.90939,66146033.9,59502.84231,4,4,0,117,24,15
112,Manhattan,Washington Heights and Inwood (CD12),Manhattan CD 12,112,56219.76316,77966844.48,56218.40566,1,2,1,75,13,14
164,,,,,32721.41132,38312364.07,32721.3016,,,,179,0,17
201,Bronx,Mott Haven and Melrose (CD1),Bronx CD 1,201,33337.65705,60401501.58,33337.65808,5,5,0,44,10,11
202,Bronx,Hunts Point and Longwood (CD2),Bronx CD 2,202,49485.23586,61854843.41,49485.19524,5,5,0,41,7,7
203,Bronx,Morrisania and Crotona (CD3),Bronx CD 3,203,33496.52729,44815535.89,33496.52695,5,5,0,55,10,8
204,Bronx,Highbridge and Concourse (CD4),Bronx CD 4,204,31291.32687,55533835.57,31291.3017,5,5,0,62,11,7
205,Bronx,Fordham and University Heights (CD5),Bronx CD 5,205,29416.37842,38317053.27,29416.30377,5,5,0,31,5,12
206,Bronx,Belmont and East Tremont (CD6),Bronx CD 6,206,35875.711,42664311,35875.71105,5,5,0,27,8,7
207,Bronx,Kingsbridge Heights and Bedford (CD7),Bronx CD 7,207,44785.477,53311723.53,44785.26378,4,4,0,45,4,10
208,Bronx,Riverdale and Fieldston (CD8),Bronx CD 8,208,47817.4554,92071620.84,47816.99486,1,1,0,34,0,10
209,Bronx,Parkchester and Soundview (CD9),Bronx CD 9,209,62239.73358,114266407.4,62239.26195,4,4,0,51,5,15
210,Bronx,Throgs Neck and Co-op City (CD10),Bronx CD 10,210,270659.6861,178962996.6,270651.9043,2,2,0,31,1,3
211,Bronx,Morris Park and Bronxdale (CD11),Bronx CD 11,211,45740.91954,100313696.6,45740.90493,4,4,0,16,1,9
212,Bronx,Williamsbridge and Baychester (CD12),Bronx CD 12,212,83998.35551,154896631,83998.18655,3,5,2,32,6,12
226,,,,,32820.39859,50566365.35,32820.28493,,,,43,1,6
227,,,,,28391.62971,31431875.32,28391.61555,,,,24,0,5
228,,,,,118917.8536,92324615.83,118914.9873,,,,51,1,4
301,Brooklyn,Greenpoint and Williamsburg (CD1),Brooklyn CD 1,301,69090.95805,131753328.3,69090.9584,4,3,-1,101,11,21
302,Brooklyn,Fort Greene and Brooklyn Heights (CD2),Brooklyn CD 2,302,74179.91294,79329430.88,74179.5765,3,2,-1,89,2,21
303,Brooklyn,Bedford Stuyvesant (CD3),Brooklyn CD 3,303,36213.69604,79461360.28,36213.69538,5,4,-1,77,22,23
304,Brooklyn,Bushwick (CD4),Brooklyn CD 4,304,37008.10032,56663153.09,37008.06095,4,3,-1,34,7,10
305,Brooklyn,East New York and Starrett City (CD5),Brooklyn CD 5,305,65109.21051,155482822.6,65108.72501,5,5,0,56,7,18
306,Brooklyn,Park Slope and Carroll Gardens (CD6),Brooklyn CD 6,306,82130.53929,85497622.48,82129.50285,2,2,0,69,1,10
307,Brooklyn,Sunset Park (CD7),Brooklyn CD 7,307,87424.46794,104141852.4,87424.46682,2,2,0,42,0,9
308,Brooklyn,Crown Heights and Prospect Heights (CD8),Brooklyn CD 8,308,38229.60261,45593140.89,38229.46901,4,4,0,44,2,8
309,Brooklyn,South Crown Heights and Lefferts Gardens (CD9),Brooklyn CD 9,309,29944.4745,45326255.78,29944.42052,4,4,0,22,0,6
310,Brooklyn,Bay Ridge and Dyker Heights (CD1,Brooklyn CD 10,310,44795.663,111316860.9,44795.0887,1,2,1,74,0,9
311,Brooklyn,Bensonhurst (CD11),Brooklyn CD 11,311,51549.5579,103178093.4,51549.2063,2,4,2,21,1,6
312,Brooklyn,Borough Park (CD12),Brooklyn CD 12,312,52245.8305,99525578.28,52245.81141,4,3,-1,30,0,6
313,Brooklyn,Coney Island (CD13),Brooklyn CD 13,313,65821.87562,88195621.78,65820.06057,3,4,1,101,4,14
314,Brooklyn,Flatbush and Midwood (CD14),Brooklyn CD 14,314,49291.79131,82175672.83,49291.79229,4,4,0,34,1,4
315,Brooklyn,Sheepshead Bay (CD15),Brooklyn CD 15,315,115288.5413,131643194,115287.5846,2,3,1,53,0,13
316,Brooklyn,Brownsville (CD16),Brooklyn CD 16,316,32997.57498,51768885.45,32997.55799,5,5,0,69,11,17
317,Brooklyn,East Flatbush (CD17),Brooklyn CD 17,317,43326.85062,93810227.59,43326.83338,5,5,0,23,6,6
318,Brooklyn,Flatlands and Canarsie (CD18),Brooklyn CD 18,318,189662.4418,235419585.8,189660.6474,3,3,0,104,6,22
355,,,,,23963.45484,26143563.57,23963.0656,,,,83,0,6
356,,,,,265184.2538,133670939.9,265176.9335,,,,1,0,0
401,Queens,Long Island City and Astoria (CD1),Queens CD 1,401,90042.71811,171548880,90039.73246,2,3,1,65,1,21
402,Queens,Woodside and Sunnyside (CD2),Queens CD 2,402,71543.04467,139891406,71542.36145,3,3,0,39,5,11
403,Queens,Jackson Heights (CD3),Queens CD 3,403,41785.13817,83488893.99,41784.91995,3,3,0,37,0,8
404,Queens,Elmhurst and Corona (CD4),Queens CD 4,404,37018.37343,65739661.74,37018.37326,4,3,-1,22,1,14
405,Queens,Ridgewood and Maspeth (CD5),Queens CD 5,405,70005.2524,210395729.6,70005.19336,1,1,0,67,0,15
406,Queens,Rego Park and Forest Hills (CD6),Queens CD 6,406,42758.96956,82702392.08,42758.96128,1,2,1,36,0,11
407,Queens,Flushing and Whitestone (CD7),Queens CD 7,407,139179.703,328355215,139177.386,2,2,0,106,1,25
408,Queens,Hillcrest and Fresh Meadows (CD8),Queens CD 8,408,69431.95123,207411298.2,69431.76138,1,2,1,72,0,18
409,Queens,Kew Gardens and Woodhaven (CD9),Queens CD 9,409,50803.1637,107421686.7,50803.07682,4,3,-1,10,1,5
410,Queens,South Ozone Park and Howard Beach (CD10),Queens CD 10,410,105203.9633,171634598.8,105199.7428,2,3,1,30,0,8
411,Queens,Bayside and Little Neck (CD11),Queens CD 11,411,97663.80845,260818817.7,97663.70998,1,1,0,59,0,15
412,Queens,Jamaica and Hollis (CD12),Queens CD 12,412,65928.41098,267333241.5,65928.31048,5,5,0,95,5,26
413,Queens,Queens Village (CD13),Queens CD 13,413,139786.9493,350465600.9,139786.2335,3,4,1,54,7,14
414,Queens,Rockaway and Broad Channel (CD14),Queens CD 14,414,211896.7923,195720264.6,211889.4005,3,4,1,114,24,22
480,,,,,45442.7982,32717223.42,45442.75303,,,,0,0,0
481,,,,,53806.20795,47555705.53,53805.90705,,,,108,9,4
482,,,,,32007.66899,24293278.54,32007.61549,,,,55,0,5
483,,,,,107281.5101,191669073.7,107274.6183,,,,0,0,0
484,,,,,247815.3534,123780639.7,247810.6094,,,,0,0,0
501,Staten Island,St. George and Stapleton (CD1),Staten Island CD 1,501,158002.1953,376945447.5,158001.5108,2,2,0,105,0,15
502,Staten Island,South Beach and Willowbrook (CD2),Staten Island CD 2,502,142669.7245,593197977.5,142668.3683,1,1,0,59,0,7
503,Staten Island,Tottenville and Great Kills (CD3),Staten Island CD 3,503,189000.7081,599063567,188994.7497,1,1,0,52,0,9
595,,,,,110237.3282,54715777.23,110235.8073,,,,38,0,5
