GeoType,CDTAType,GeogName,GeoID,BoroCD,Borough,Pop_1E
CDTA2020,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),BK01,301,Brooklyn,"201,535"
CDTA2020,CD,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),BK02,302,Brooklyn,"126,308"
CDTA2020,CD,BK03 Bedford-Stuyvesant (CD 3 Approximation),BK03,303,Brooklyn,"182,441"
CDTA2020,CD,BK04 Bushwick (CD 4 Equivalent),BK04,304,Brooklyn,"115,024"
CDTA2020,CD,BK05 East New York-Cypress Hills (CD 5 Approximation),BK05,305,Brooklyn,"205,303"
CDTA2020,CD,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),BK06,306,Brooklyn,"120,661"
CDTA2020,CD,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),BK07,307,Brooklyn,"124,433"
CDTA2020,CD,BK08 Crown Heights (North) (CD 8 Approximation),BK08,308,Brooklyn,"110,281"
CDTA2020,CD,BK09 Crown Heights (South) (CD 9 Approximation),BK09,309,Brooklyn,"99,978"
CDTA2020,CD,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),BK10,310,Brooklyn,"127,569"
CDTA2020,CD,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),BK11,311,Brooklyn,"188,487"
CDTA2020,CD,BK12 Borough Park-Kensington (CD 12 Approximation),BK12,312,Brooklyn,"192,058"
CDTA2020,CD,BK13 Coney Island-Brighton Beach (CD 13 Approximation),BK13,313,Brooklyn,"110,299"
CDTA2020,CD,BK14 Flatbush-Midwood (CD 14 Approximation),BK14,314,Brooklyn,"164,539"
CDTA2020,CD,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),BK15,315,Brooklyn,"157,254"
CDTA2020,CD,BK16 Ocean Hill-Brownsville (CD 16 Approximation),BK16,316,Brooklyn,"94,660"
CDTA2020,CD,BK17 East Flatbush (CD 17 Approximation),BK17,317,Brooklyn,"158,546"
CDTA2020,CD,BK18 Canarsie-Flatlands (CD 18 Approximation),BK18,318,Brooklyn,"200,230"
CDTA2020,JIA,BK55 Prospect Park (JIA 55 Approximation),BK55,355,Brooklyn,0
CDTA2020,JIA,BK56 Jamaica Bay (West) (JIA 56 Approximation),BK56,356,Brooklyn,14
CDTA2020,CD,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),BX01,201,Bronx,"100,606"
CDTA2020,CD,BX02 Longwood-Hunts Point (CD 2 Approximation),BX02,202,Bronx,"55,971"
CDTA2020,CD,BX03 Morrisania-Crotona Park East (CD 3 Approximation),BX03,203,Bronx,"88,856"
CDTA2020,CD,BX04 Highbridge-Concourse (CD 4 Approximation),BX04,204,Bronx,"153,883"
CDTA2020,CD,BX05 Morris Heights-Mount Hope (CD 5 Approximation),BX05,205,Bronx,"137,347"
CDTA2020,CD,BX06 Tremont-Belmont-West Farms (CD 6 Approximation),BX06,206,Bronx,"87,409"
CDTA2020,CD,BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation),BX07,207,Bronx,"139,443"
CDTA2020,CD,BX08 Riverdale-Kingsbridge-Marble Hill (CD 8 Approximation),BX08,208,Bronx,"106,607"
CDTA2020,CD,BX09 Soundview-Parkchester (CD 9 Approximation),BX09,209,Bronx,"172,669"
CDTA2020,CD,BX10 Co-op City-Throgs Neck (CD 10 Approximation),BX10,210,Bronx,"129,124"
CDTA2020,CD,BX11 Pelham Parkway-Morris Park (CD 11 Approximation),BX11,211,Bronx,"117,283"
CDTA2020,CD,BX12 Wakefield-Williamsbridge-Eastchester (CD 12 Approximation),BX12,212,Bronx,"161,037"
CDTA2020,JIA,BX26 Van Cortlandt Park (JIA 26 Equivalent),BX26,226,Bronx,16
CDTA2020,JIA,BX27 Bronx Park (JIA 27 Approximation),BX27,227,Bronx,38
CDTA2020,JIA,BX28 Pelham Bay Park (JIA 28 Approximation),BX28,228,Bronx,57
CDTA2020,CD,MN01 Financial District-Tribeca (CD 1 Equivalent),MN01,101,Manhattan,"72,470"
CDTA2020,CD,MN02 Greenwich Village-SoHo (CD 2 Equivalent),MN02,102,Manhattan,"85,706"
CDTA2020,CD,MN03 Lower East Side-Chinatown (CD 3 Equivalent),MN03,103,Manhattan,"155,194"
CDTA2020,CD,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),MN04,104,Manhattan,"116,457"
CDTA2020,CD,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),MN05,105,Manhattan,"50,450"
CDTA2020,CD,MN06 East Midtown-Murray Hill (CD 6 Approximation),MN06,106,Manhattan,"143,639"
CDTA2020,CD,MN07 Upper West Side (CD 7 Approximation),MN07,107,Manhattan,"220,646"
CDTA2020,CD,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),MN08,108,Manhattan,"211,135"
CDTA2020,CD,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),MN09,109,Manhattan,"114,613"
CDTA2020,CD,MN10 Harlem (CD 10 Equivalent),MN10,110,Manhattan,"135,884"
CDTA2020,CD,MN11 East Harlem (CD 11 Equivalent),MN11,111,Manhattan,"125,413"
CDTA2020,CD,MN12 Washington Heights-Inwood (CD 12 Equivalent),MN12,112,Manhattan,"202,697"
CDTA2020,JIA,MN64 Central Park (JIA 64 Equivalent),MN64,164,Manhattan,0
CDTA2020,CD,QN01 Astoria-Queensbridge (CD 1 Equivalent),QN01,401,Queens,"175,716"
CDTA2020,CD,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),QN02,402,Queens,"124,372"
CDTA2020,CD,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),QN03,403,Queens,"161,901"
CDTA2020,CD,QN04 Elmhurst-Corona (CD 4 Approximation),QN04,404,Queens,"175,166"
CDTA2020,CD,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),QN05,405,Queens,"184,935"
CDTA2020,CD,QN06 Forest Hills-Rego Park (CD 6 Approximation),QN06,406,Queens,"122,344"
CDTA2020,CD,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),QN07,407,Queens,"250,032"
